Name,Link
Памятник И.А. Крылову,https://um.mos.ru/monuments/pamyatnik-i-a-krylovu/
Фонтан Каменный цветок,https://um.mos.ru/monuments/fontan-kamennyy-tsvetok/
Памятник Джеймсу Джойсу,https://um.mos.ru/monuments/pamyatnik-dzheymsu-dzhoysu/
Памятный знак на месте гибели Героя Советского Союза В.В. Талалихина,https://um.mos.ru/monuments/pamyatnyy-znak-na-meste-gibeli-geroya-sovetskogo-soyuza-v-v-talalikhina/
Памятник экипажу подводной лодки Курск,https://um.mos.ru/monuments/pamyatnik-ekipazhu-podvodnoy-lodki-kursk/
Земля и вода,https://um.mos.ru/monuments/zemlya-i-voda/
Дворовый капитан,https://um.mos.ru/monuments/dvorovyy-kapitan/
Памятник водопроводной задвижке,https://um.mos.ru/monuments/pamyatnik-vodoprovodnoy-zadvizhke/
Охранник,https://um.mos.ru/monuments/okhrannik/
«Миротворцы»,https://um.mos.ru/monuments/mirotvortsy/
Погибшим на стадионах мира,https://um.mos.ru/monuments/pogibshim-na-stadionakh-mira/
Скамейка Красные и белые,https://um.mos.ru/monuments/skameyka-quot-krasnye-i-belye-quot/
Ямщик,https://um.mos.ru/monuments/yamshchik/
Родина-мать,https://um.mos.ru/monuments/uvao-rodina-mat/
Памятник создателям первого спутника Земли,https://um.mos.ru/monuments/pamyatnik-sozdatelyam-pervogo-sputnika-zemli/
Памятный знак в честь снесенной часовни,https://um.mos.ru/monuments/pamyatnyy-znak-v-chest-snesennoy-chasovni/
Электростатическая машина,https://um.mos.ru/monuments/elektrostaticheskaya-mashina/
Памятник - бюст Чарльза Диккенса,https://um.mos.ru/monuments/pamyatnik-byust-charlza-dikkensa/
Инструктор с собакой,https://um.mos.ru/monuments/instruktor-s-sobakoy/
Памятник Ф.И. Тютчеву,https://um.mos.ru/monuments/pamyatnik-f-i-tyutchevu/
Бюст Сигизмунда фон  Гернберштейна,https://um.mos.ru/monuments/pamyatnik-byust-sigizmunda-fon-gernbershteyna/
Памятник-бюст Солдатенкову  К.Т.,https://um.mos.ru/monuments/pamyatnik-byust-soldatenkovu-k-t/
Скульптура Аифке,https://um.mos.ru/monuments/skulptura-aifke/
"Единство, солидарность, справедливость",https://um.mos.ru/monuments/edinstvo-solidarnost-spravedlivost/
Грот Дианы со статуей,https://um.mos.ru/monuments/grot-diany-so-statuey/
"Пишите письма, или Рука в конверте",https://um.mos.ru/monuments/pishite-pisma-ili-ruka-v-konverte/
Студент,https://um.mos.ru/monuments/student/
Памятник плугу,https://um.mos.ru/monuments/pamyatnik-plugu/
Памятник Агриппине Александровне Абрикосовой,https://um.mos.ru/monuments/pamyatnik-agrippine-aleksandrovne-abrikosovoy/
Воинам-работникам больницы имени С.П.Боткина,https://um.mos.ru/monuments/voinam-rabotnikam-bolnitsy-imeni-s-p-botkina/
Памятник погибшим в ВОВ,https://um.mos.ru/monuments/pamyatnik-pogibshim-v-vov/
Шерлоку Холмсу и доктору Ватсону,https://um.mos.ru/monuments/sherloku-kholmsu-i-doktoru-vatsonu/
Памятник Гетье Ф.А.,https://um.mos.ru/monuments/pamyatnik-gete-f-a/
Памятник А. Н. Толстому,https://um.mos.ru/monuments/pamyatnik-a-n-tolstomu/
Памятник Георгию Константиновичу Жукову,https://um.mos.ru/monuments/pamyatnik-marshalu-georgiyu-konstantinovichu-zhukovu/
Рабочий-дружинник,https://um.mos.ru/monuments/rabochiy-druzhinnik/
Памятник создателям российских железных дорог,https://um.mos.ru/monuments/pamyatnik-sozdatelyam-rossiyskikh-zheleznykh-dorog/
Памятник 7-й Бауманской дивизии народного ополчения,https://um.mos.ru/monuments/pamyatnik-7-y-baumanskoy-divizii-narodnogo-opolcheniya/
Памятник первой полосе городского рубежа обороны Москвы,https://um.mos.ru/monuments/pamyatnik-pervoy-polose-gorodskogo-rubezha-oborony-moskvy/
Памятник А. А. Блоку,https://um.mos.ru/monuments/pamyatnik-a-a-bloku/
Гааз Ф. П. (ограда памятника),https://um.mos.ru/monuments/gaaz-f-p-ograda-pamyatnika/
Памятник Н.Г. Чернышевскому,https://um.mos.ru/monuments/pamyatnik-n-g-chernyshevskomu/
Скульптура «Водный путь»,https://um.mos.ru/monuments/skulptura-vodnyy-put/
"Монумент ""Павшим и живым""",https://um.mos.ru/monuments/monument-quot-pavshim-i-zhivym-quot/
Памятник ополченцам Замоскворечья,https://um.mos.ru/monuments/pamyatnik-opolchentsam-zamoskvorechya/
А. С Пушкин и Н. Н. Гончарова,https://um.mos.ru/monuments/a-s-pushkin-i-n-n-goncharova/
Фронтовым шофёрам,https://um.mos.ru/monuments/frontovym-shofyeram/
Памятник Н.А. Некрасову,https://um.mos.ru/monuments/pamyatnik-n-a-nekrasovu/
Миру — мир,https://um.mos.ru/monuments/miru-mir/
Триумф Победы,https://um.mos.ru/monuments/triumf-pobedy/
Памятник Ивану Кожедубу,https://um.mos.ru/monuments/pamyatnik-ivanu-kozhedubu/
Обелиск погибшим в ВОВ работникам завода,https://um.mos.ru/monuments/obelisk-pogibshim-v-vov-rabotnikam-zavoda/
Шолохов М. А.,https://um.mos.ru/monuments/sholokhov-m-a/
Конные скульптурные группы,https://um.mos.ru/monuments/konnye-skulpturnye-gruppy/
Памятник Наташе Качуевской,https://um.mos.ru/monuments/pamyatnik-natashe-kachuevskoy/
Шолом-Алейхем,https://um.mos.ru/monuments/sholom-aleykhem/
Памятник Д.Д. Шостаковичу,https://um.mos.ru/monuments/pamyatnik-d-d-shostakovichu/
Путеводная звезда гусара,https://um.mos.ru/monuments/putevodnaya-zvezda-gusara/
Конфуций,https://um.mos.ru/monuments/konfutsiy/
"Памятник «Скорбящим матерям» и стена памяти «Воинам-москвичам, погибшим в Афганистане»",https://um.mos.ru/monuments/pamyatnik-skorbyashchim-materyam-i-stena-pamyati-voinam-moskvicham-pogibshim-v-afganistane/
"Памятник героям-дружинникам, участникам баррикадных боев на Красной Пресне",https://um.mos.ru/monuments/pamyatnik-geroyam-druzhinnikam-uchastnikam-barrikadnykh-boev-na-krasnoy-presne/
Репин И. Е.,https://um.mos.ru/monuments/repin-i-e/
Памятник В.И. Ленину на Комсомольской площади,https://um.mos.ru/monuments/pamyatnik-v-i-leninu-na-komsomolskoy-ploshchadi/
Памятник Лермонтову М.Ю.,https://um.mos.ru/monuments/lermontov-m-yu/
Обелиск памяти погибших в годы Великой Отечественной войны,https://um.mos.ru/monuments/obelisk-pamyati-pogibshikh-v-gody-velikoy-otechestvennoy-voyny/
Площадь Мужества,https://um.mos.ru/monuments/ploshchad-muzhestva/
Памятный знак в честь Ц.Л. Куникова,https://um.mos.ru/monuments/pamyatnyy-znak-v-chest-ts-l-kunikova/
Закладной камень памятника победы русских кавалеристов в 1812 году,https://um.mos.ru/monuments/zakladnoy-kamen-pamyatnika-pobedy-russkikh-kavaleristov-v-1812-godu/
Героям Отечественной войны 1812 г.,https://um.mos.ru/monuments/geroyam-otechestvennoy-voyny-1812-g/
Фридрих Энгельс,https://um.mos.ru/monuments/fridrikh-engels/
Памятник А.М. Горькому,https://um.mos.ru/monuments/gorkiy-a-m/
Памятник А. Л. Мясникову,https://um.mos.ru/monuments/pamyatnik-a-l-myasnikovu/
Памятник героям Плевны (Часовня Александра Невского),https://um.mos.ru/monuments/pamyatnik-geroyam-plevny-chasovnya-aleksandra-nevskogo/
Пушкин А.С.,https://um.mos.ru/monuments/pushkin-a-s/
Памятник первому министру путей сообщения,https://um.mos.ru/monuments/pamyatnik-pervomu-ministru-putey-soobshcheniya/
Памятник Муслиму Магомаеву,https://um.mos.ru/monuments/pamyatnik-muslimu-magomaevu/
8-я дивизия народного ополчения,https://um.mos.ru/monuments/8-ya-diviziya-narodnogo-opolcheniya/
Петр I и Ф. Лефорт,https://um.mos.ru/monuments/petr-i-i-f-lefort/
Рихард Зорге,https://um.mos.ru/monuments/rikhard-zorge/
Памятник грузинскому поэту Шота Руставели,https://um.mos.ru/monuments/pamyatnik-gruzinskomu-poetu-shota-rustaveli/
Фонтан в Саду «Эрмитаж»,https://um.mos.ru/monuments/fontan/
Памятник Н. Е. Жуковскому,https://um.mos.ru/monuments/pamyatnik-n-e-zhukovskomu/
Памятник Н.Ф. Филатову,https://um.mos.ru/monuments/pamyatnik-n-f-filatovu/
Димитров Г. М.,https://um.mos.ru/monuments/dimitrov-g-m/
Скульптура «Балерина»,https://um.mos.ru/monuments/skulptura-balerina/
Памятник С.С. Прокофьеву,https://um.mos.ru/monuments/pamyatnik-s-s-prokofevu/
Памятник А.С. Пушкину,https://um.mos.ru/monuments/pamyatnik-a-s-pushkinuu/
Похищение Прозерпины,https://um.mos.ru/monuments/pokhishchenie-prozerpiny/
"Памятник сотрудникам внутренних дел, солдатам правопорядка, погибшим при исполнении служебного долга",https://um.mos.ru/monuments/pamyatnik-sotrudnikam-vnutrennikh-del-soldatam-pravoporyadka-pogibshim-pri-ispolnenii-sluzhebnogo-do/
Памятник Мстиславу Ростроповичу,https://um.mos.ru/monuments/pamyatnik-mstislavu-rostropovichu/
Памятник М.С. Щепкину,https://um.mos.ru/monuments/pamyatnik-m-s-shchepkinu/
Памятник Петру Аркадьевичу Столыпину,https://um.mos.ru/monuments/petru-arkadevichu-stolypinu/
Челомей В. Н.,https://um.mos.ru/monuments/chelomey-v-n/
Кадетский плац,https://um.mos.ru/monuments/kadetskiy-plats/
100 лет дальней авиации,https://um.mos.ru/monuments/100-let-dalney-aviatsii/
Памятник С.А. Чаплыгину,https://um.mos.ru/monuments/pamyatnik-s-a-chaplyginu/
"Авиаторам, испытателям и защитникам неба Москвы, погибшим на Ходынском поле, 1910-1970 гг.",https://um.mos.ru/monuments/aviatoram-ispytatelyam-i-zashchitnikam-neba-moskvy-pogibshim-na-khodynskom-pole-1910-1970-gg/
Памятник А.В. Суворову,https://um.mos.ru/monuments/pamyatnik-a-v-suvorovu/
Советским воинам — защитникам Москвы,https://um.mos.ru/monuments/sovetskim-voinam-zashchitnikam-moskvy/
Ле Корбюзье,https://um.mos.ru/monuments/le-korbyuze/
В.Г. Шухов,https://um.mos.ru/monuments/v-g-shukhov/
Бюст А.Н. Островского,https://um.mos.ru/monuments/byust-a-n-ostrovskogo/
Памятник Герою Советского Союза Юрию Николаевичу Зыкову,https://um.mos.ru/monuments/pamyatnik-geroyu-sovetskogo-soyuza-yuriyu-nikolaevichu-zykovu/
Памятник А.И. Хачатуряну,https://um.mos.ru/monuments/pamyatnik-a-i-khachaturyanu/
Хозяйка Медной горы,https://um.mos.ru/monuments/khozyayka-mednoy-gory/
Пирогов Н. И.,https://um.mos.ru/monuments/pirogov-n-i/
Памятник Николаю Эрнестовичу Бауману,https://um.mos.ru/monuments/pamyatnik-nikolayu-ernestovichu-baumanu/
Бюст Н.Э. Баумана,https://um.mos.ru/monuments/pamyatnik-n-e-baumanu/
Бауман Н. Э.,https://um.mos.ru/monuments/bauman-n-e/
Беляев П. И.,https://um.mos.ru/monuments/belyaev-p-i/
Вучетич Е. В.,https://um.mos.ru/monuments/vuchetich-e-v/
Водопьянов М. В. (Герой Советского Союза),https://um.mos.ru/monuments/vodopyanov-m-v-geroy-sovetskogo-soyuza/
"Поклонный крест памяти преподобной Евфросинии, великой княгини Евдокии Московской",https://um.mos.ru/monuments/poklonnyy-krest-pamyati-prepodobnoy-evfrosinii-velikoy-knyagini-evdokii-moskovskoy/
